20/12/20 10:05:11.68:   Get current data
20/12/20 10:05:12.96:   Film done 212 / 518
20/12/20 10:05:12.96:   Film done 213 / 518
20/12/20 10:05:12.96:   Film done 214 / 518
20/12/20 10:05:12.96:   Film done 215 / 518
20/12/20 10:05:12.96:   Film done 216 / 518
20/12/20 10:05:12.96:   Film done 217 / 518
20/12/20 10:05:12.96:   Film done 218 / 518
20/12/20 10:05:12.96:   Film done 219 / 518
20/12/20 10:05:12.96:   Film done 220 / 518
20/12/20 10:05:12.96:   Film done 221 / 518
20/12/20 10:05:12.96:   Film done 222 / 518
20/12/20 10:05:12.96:   Film done 223 / 518
20/12/20 10:05:12.96:   Film done 224 / 518
20/12/20 10:05:12.96:   Film done 225 / 518
20/12/20 10:05:12.96:   Film done 226 / 518
20/12/20 10:05:12.96:   Film done 227 / 518
20/12/20 10:05:12.96:   Film done 228 / 518
20/12/20 10:05:12.96:   Film done 229 / 518
20/12/20 10:05:12.96:   Film done 230 / 518
20/12/20 10:05:12.96:   Film done 231 / 518
20/12/20 10:05:12.96:   Film done 232 / 518
20/12/20 10:05:12.96:   Film done 233 / 518
20/12/20 10:05:12.96:   Film done 234 / 518
20/12/20 10:05:12.96:   Film done 237 / 518
20/12/20 10:05:12.96:   Film done 236 / 518
20/12/20 10:05:12.96:   Film done 235 / 518
20/12/20 10:05:12.96:   Film done 239 / 518
20/12/20 10:05:12.96:   Film done 240 / 518
20/12/20 10:05:12.96:   Film done 238 / 518
20/12/20 10:05:12.96:   Film done 241 / 518
20/12/20 10:05:12.96:   Film done 242 / 518
20/12/20 10:05:12.96:   Film done 243 / 518
20/12/20 10:05:12.96:   Film done 244 / 518
20/12/20 10:05:12.96:   Film done 245 / 518
20/12/20 10:05:12.96:   Film done 246 / 518
20/12/20 10:05:12.96:   Film done 247 / 518
20/12/20 10:05:12.96:   Film done 248 / 518
20/12/20 10:05:12.96:   Film done 249 / 518
20/12/20 10:05:12.96:   Film done 250 / 518
20/12/20 10:05:12.96:   Film done 251 / 518
20/12/20 10:05:12.96:   Film done 252 / 518
20/12/20 10:05:12.97:   Film done 253 / 518
20/12/20 10:05:12.97:   Film done 254 / 518
20/12/20 10:05:12.97:   Film done 255 / 518
20/12/20 10:05:12.97:   Film done 256 / 518
20/12/20 10:05:12.97:   Film done 257 / 518
20/12/20 10:05:12.97:   Film done 258 / 518
20/12/20 10:05:12.97:   Film done 259 / 518
20/12/20 10:05:12.97:   Film done 260 / 518
20/12/20 10:05:12.97:   Film done 261 / 518
20/12/20 10:05:12.97:   Film done 262 / 518
20/12/20 10:05:12.97:   Film done 263 / 518
20/12/20 10:05:12.97:   Film done 264 / 518
20/12/20 10:05:12.97:   Film done 265 / 518
20/12/20 10:05:12.97:   Film done 266 / 518
20/12/20 10:05:12.97:   Film done 267 / 518
20/12/20 10:05:12.97:   Film done 268 / 518
20/12/20 10:05:12.97:   Film done 269 / 518
20/12/20 10:05:12.97:   Film done 270 / 518
20/12/20 10:05:12.97:   Film done 271 / 518
20/12/20 10:05:12.97:   Film done 272 / 518
20/12/20 10:05:12.97:   Film done 273 / 518
20/12/20 10:05:12.97:   Film done 274 / 518
20/12/20 10:05:12.97:   Film done 275 / 518
20/12/20 10:05:12.97:   Film done 276 / 518
20/12/20 10:05:12.97:   Film done 277 / 518
20/12/20 10:05:12.97:   Film done 278 / 518
20/12/20 10:05:12.97:   Film done 279 / 518
20/12/20 10:05:12.97:   Film done 280 / 518
20/12/20 10:05:12.97:   Film done 281 / 518
20/12/20 10:05:12.97:   Film done 282 / 518
20/12/20 10:05:12.97:   Film done 283 / 518
20/12/20 10:05:12.97:   Film done 284 / 518
20/12/20 10:05:12.97:   Film done 285 / 518
20/12/20 10:05:12.97:   Film done 286 / 518
20/12/20 10:05:12.97:   Film done 287 / 518
20/12/20 10:05:12.97:   Film done 288 / 518
20/12/20 10:05:12.97:   Film done 289 / 518
20/12/20 10:05:12.97:   Film done 290 / 518
20/12/20 10:05:12.97:   Film done 291 / 518
20/12/20 10:05:12.97:   Film done 292 / 518
20/12/20 10:05:12.97:   Film done 293 / 518
20/12/20 10:05:12.97:   Film done 294 / 518
20/12/20 10:05:12.97:   Film done 295 / 518
20/12/20 10:05:12.98:   Film done 296 / 518
20/12/20 10:05:12.98:   Film done 297 / 518
20/12/20 10:05:12.98:   Film done 298 / 518
20/12/20 10:05:12.98:   Film done 299 / 518
20/12/20 10:05:12.98:   Film done 300 / 518
20/12/20 10:05:12.98:   Film done 301 / 518
20/12/20 10:05:12.98:   Film done 302 / 518
20/12/20 10:05:12.98:   Film done 303 / 518
20/12/20 10:05:12.98:   Film done 304 / 518
20/12/20 10:05:12.98:   Film done 305 / 518
20/12/20 10:05:12.98:   Film done 306 / 518
20/12/20 10:05:12.98:   Film done 307 / 518
20/12/20 10:05:12.98:   Film done 308 / 518
20/12/20 10:05:12.99:   Film done 309 / 518
20/12/20 10:05:12.99:   Film done 310 / 518
20/12/20 10:05:12.99:   Film done 311 / 518
20/12/20 10:05:12.99:   Film done 312 / 518
20/12/20 10:05:12.99:   Film done 313 / 518
20/12/20 10:05:12.99:   Film done 314 / 518
20/12/20 10:05:12.99:   Film done 315 / 518
20/12/20 10:05:12.99:   Film done 316 / 518
20/12/20 10:05:12.99:   Film done 317 / 518
20/12/20 10:05:12.99:   Film done 318 / 518
20/12/20 10:05:12.99:   Film done 319 / 518
20/12/20 10:05:12.99:   Film done 320 / 518
20/12/20 10:05:12.99:   Film done 321 / 518
20/12/20 10:05:12.99:   Film done 322 / 518
20/12/20 10:05:12.99:   Film done 323 / 518
20/12/20 10:05:12.99:   Film done 324 / 518
20/12/20 10:05:12.99:   Film done 325 / 518
20/12/20 10:05:12.99:   Film done 326 / 518
20/12/20 10:05:12.99:   Film done 327 / 518
20/12/20 10:05:12.99:   Film done 328 / 518
20/12/20 10:05:12.99:   Film done 331 / 518
20/12/20 10:05:12.99:   Film done 330 / 518
20/12/20 10:05:12.99:   Film done 329 / 518
20/12/20 10:05:12.99:   Film done 332 / 518
20/12/20 10:05:12.99:   Film done 333 / 518
20/12/20 10:05:12.99:   Film done 334 / 518
20/12/20 10:05:12.99:   Film done 335 / 518
20/12/20 10:05:12.99:   Film done 336 / 518
20/12/20 10:05:12.99:   Film done 337 / 518
20/12/20 10:05:12.99:   Film done 338 / 518
20/12/20 10:05:12.99:   Film done 339 / 518
20/12/20 10:05:12.99:   Film done 340 / 518
20/12/20 10:05:12.99:   Film done 341 / 518
20/12/20 10:05:12.99:   Film done 342 / 518
20/12/20 10:05:12.99:   Film done 343 / 518
20/12/20 10:05:12.99:   Film done 344 / 518
20/12/20 10:05:12.99:   Film done 345 / 518
20/12/20 10:05:12.99:   Film done 346 / 518
20/12/20 10:05:12.99:   Film done 347 / 518
20/12/20 10:05:12.99:   Film done 348 / 518
20/12/20 10:05:12.99:   Film done 349 / 518
20/12/20 10:05:12.99:   Film done 350 / 518
20/12/20 10:05:12.99:   Film done 351 / 518
20/12/20 10:05:12.99:   Film done 352 / 518
20/12/20 10:05:12.99:   Film done 353 / 518
20/12/20 10:05:12.99:   Film done 354 / 518
20/12/20 10:05:12.99:   Film done 355 / 518
20/12/20 10:05:12.99:   Film done 356 / 518
20/12/20 10:05:13.00:   Film done 357 / 518
20/12/20 10:05:13.00:   Film done 358 / 518
20/12/20 10:05:13.00:   Film done 359 / 518
20/12/20 10:05:13.00:   Film done 360 / 518
20/12/20 10:05:13.00:   Film done 361 / 518
20/12/20 10:05:13.00:   Film done 362 / 518
20/12/20 10:05:13.00:   Film done 363 / 518
20/12/20 10:05:13.00:   Film done 364 / 518
20/12/20 10:05:13.00:   Film done 365 / 518
20/12/20 10:05:13.00:   Film done 366 / 518
20/12/20 10:05:13.00:   Film done 367 / 518
20/12/20 10:05:13.00:   Film done 368 / 518
20/12/20 10:05:13.00:   Film done 369 / 518
20/12/20 10:05:13.00:   Film done 370 / 518
20/12/20 10:05:13.00:   Film done 371 / 518
20/12/20 10:05:13.00:   Film done 372 / 518
20/12/20 10:05:13.00:   Film done 373 / 518
20/12/20 10:05:13.00:   Film done 374 / 518
20/12/20 10:05:13.00:   Film done 375 / 518
20/12/20 10:05:13.00:   Film done 376 / 518
20/12/20 10:05:13.00:   Film done 377 / 518
20/12/20 10:05:13.00:   Film done 378 / 518
20/12/20 10:05:13.00:   Film done 379 / 518
20/12/20 10:05:13.00:   Film done 380 / 518
20/12/20 10:05:13.00:   Film done 381 / 518
20/12/20 10:05:13.00:   Film done 382 / 518
20/12/20 10:05:13.00:   Film done 383 / 518
20/12/20 10:05:13.00:   Film done 384 / 518
20/12/20 10:05:13.00:   Film done 385 / 518
20/12/20 10:05:13.00:   Film done 386 / 518
20/12/20 10:05:13.00:   Film done 387 / 518
20/12/20 10:05:13.00:   Film done 388 / 518
20/12/20 10:05:13.00:   Film done 389 / 518
20/12/20 10:05:13.00:   Film done 390 / 518
20/12/20 10:05:13.00:   Film done 391 / 518
20/12/20 10:05:13.00:   Film done 392 / 518
20/12/20 10:05:13.00:   Film done 393 / 518
20/12/20 10:05:13.00:   Film done 394 / 518
20/12/20 10:05:13.00:   Film done 395 / 518
20/12/20 10:05:13.00:   Film done 396 / 518
20/12/20 10:05:13.00:   Film done 397 / 518
20/12/20 10:05:13.00:   Film done 398 / 518
20/12/20 10:05:13.00:   Film done 399 / 518
20/12/20 10:05:13.00:   Film done 400 / 518
20/12/20 10:05:13.00:   Film done 401 / 518
20/12/20 10:05:13.00:   Film done 402 / 518
20/12/20 10:05:13.00:   Film done 403 / 518
20/12/20 10:05:13.00:   Film done 404 / 518
20/12/20 10:05:13.00:   Film done 405 / 518
20/12/20 10:05:13.00:   Film done 406 / 518
20/12/20 10:05:13.00:   Film done 407 / 518
20/12/20 10:05:13.01:   Film done 408 / 518
20/12/20 10:05:13.01:   Film done 409 / 518
20/12/20 10:05:13.01:   Film done 410 / 518
20/12/20 10:05:13.01:   Film done 411 / 518
20/12/20 10:05:13.01:   Film done 412 / 518
20/12/20 10:05:13.01:   Film done 413 / 518
20/12/20 10:05:13.01:   Film done 414 / 518
20/12/20 10:05:13.01:   Film done 415 / 518
20/12/20 10:05:13.01:   Film done 416 / 518
20/12/20 10:05:13.01:   Film done 417 / 518
20/12/20 10:05:13.01:   Film done 418 / 518
20/12/20 10:05:13.01:   Film done 419 / 518
20/12/20 10:05:13.01:   Film done 420 / 518
20/12/20 10:05:13.01:   Film done 421 / 518
20/12/20 10:05:13.01:   Film done 423 / 518
20/12/20 10:05:13.01:   Film done 425 / 518
20/12/20 10:05:13.01:   Film done 424 / 518
20/12/20 10:05:13.01:   Film done 422 / 518
20/12/20 10:05:13.01:   Film done 426 / 518
20/12/20 10:05:13.01:   Film done 427 / 518
20/12/20 10:05:13.01:   Film done 428 / 518
20/12/20 10:05:13.01:   Film done 429 / 518
20/12/20 10:05:13.01:   Film done 430 / 518
20/12/20 10:05:13.01:   Film done 431 / 518
20/12/20 10:05:13.01:   Film done 432 / 518
20/12/20 10:05:13.01:   Film done 433 / 518
20/12/20 10:05:13.01:   Film done 434 / 518
20/12/20 10:05:13.01:   Film done 435 / 518
20/12/20 10:05:13.01:   Film done 436 / 518
20/12/20 10:05:13.01:   Film done 437 / 518
20/12/20 10:05:13.01:   Film done 438 / 518
20/12/20 10:05:13.01:   Film done 439 / 518
20/12/20 10:05:13.01:   Film done 440 / 518
20/12/20 10:05:13.01:   Film done 441 / 518
20/12/20 10:05:13.01:   Film done 442 / 518
20/12/20 10:05:13.01:   Film done 443 / 518
20/12/20 10:05:13.01:   Film done 444 / 518
20/12/20 10:05:13.01:   Film done 445 / 518
20/12/20 10:05:13.01:   Film done 446 / 518
20/12/20 10:05:13.01:   Film done 447 / 518
20/12/20 10:05:13.01:   Film done 448 / 518
20/12/20 10:05:13.01:   Film done 449 / 518
20/12/20 10:05:13.01:   Film done 450 / 518
20/12/20 10:05:13.01:   Film done 451 / 518
20/12/20 10:05:13.01:   Film done 452 / 518
20/12/20 10:05:13.01:   Film done 453 / 518
20/12/20 10:05:13.01:   Film done 454 / 518
20/12/20 10:05:13.01:   Film done 455 / 518
20/12/20 10:05:13.01:   Film done 456 / 518
20/12/20 10:05:13.02:   Film done 457 / 518
